???,Unnamed: 1,dlnC_RAW,dlnY_RAW,dlnC_NOME,dlnY_NOME,POP,RGDPPC_PPP,TO,FO
AUS,1948,9.739,3.155,9.27,1.631,7715.0,6967.46,0.411,0.396
AUS,1949,4.054,2.521,4.682,1.767,7919.0,7236.792,0.398,0.401
AUS,1950,2.072,1.12,1.605,0.827,8267.337,7411.576,0.471,0.428
AUS,1951,-2.424,-0.049,-1.859,-0.229,8510.6,7507.344,0.483,0.474
AUS,1952,-3.178,-2.596,-2.54,-1.103,8691.212,7417.838,0.375,0.529
AUS,1953,-5.455,-0.177,-2.354,0.243,8857.924,7505.257,0.31,0.578
AUS,1954,4.19,2.446,2.14,1.24,9064.017,7790.586,0.289,0.612
AUS,1955,5.317,1.693,2.621,0.945,9277.087,8027.412,0.302,0.625
AUS,1956,-1.114,-0.344,-0.072,0.102,9500.606,8108.325,0.273,0.625
AUS,1957,-2.616,-1.599,-0.811,-0.348,9712.569,8090.238,0.271,0.625
AUS,1958,1.71,1.309,0.978,1.05,9915.267,8305.475,0.235,0.625
AUS,1959,-0.258,2.526,0.835,1.525,10131.73,8628.438,0.244,0.625
AUS,1960,5.864,0.537,2.68,0.601,10361.27,8790.908,0.254,0.625
AUS,1961,-1.203,0.889,-0.086,0.467,10598.81,8653.138,0.241,0.625
AUS,1962,-2.637,-3.271,-0.559,-0.766,10794.97,9026.798,0.246,0.625
AUS,1963,2.426,3.586,1.685,2.312,11001.48,9399.914,0.26,0.625
AUS,1964,2.943,2.579,2.303,2.505,11218.3,9848.904,0.268,0.625
AUS,1965,2.61,4.223,2.319,3.44,11439.38,10151.858,0.261,0.625
AUS,1966,1.492,2.819,2.119,2.921,11655.08,10241.283,0.249,0.619
AUS,1967,3.072,1.149,2.345,1.994,11872.26,10732.747,0.244,0.602
AUS,1968,2.329,5.345,2.327,3.774,12101.66,11148.305,0.242,0.577
AUS,1969,2.667,1.864,2.31,2.144,12379.38,11560.995,0.239,0.542
AUS,1970,1.076,1.241,1.26,1.188,12660.16,12023.545,0.238,0.5
AUS,1971,-0.72,-0.884,0.517,-0.125,12937.2,12289.522,0.229,0.458
AUS,1972,1.948,-0.338,1.745,0.091,13177.0,12404.417,0.217,0.423
AUS,1973,3.202,1.358,1.735,0.016,13380.4,12878.09,0.239,0.398
AUS,1974,0.297,-2.772,0.705,-1.143,13599.1,12985.124,0.266,0.381
AUS,1975,-1.09,0.149,0.302,0.122,13771.4,13169.83,0.243,0.381
AUS,1976,2.361,1.032,1.112,0.176,13915.5,13558.837,0.25,0.398
AUS,1977,-0.157,-1.492,0.227,-0.358,14074.1,13546.372,0.253,0.423
AUS,1978,-0.125,1.572,0.039,0.616,14248.6,13768.651,0.25,0.452
AUS,1979,-0.001,0.701,0.413,0.555,14421.9,14319.542,0.278,0.477
AUS,1980,1.328,0.776,1.121,0.509,14615.9,14411.839,0.29,0.5
AUS,1981,2.176,0.187,0.994,-0.506,14923.26,14660.336,0.273,0.523
AUS,1982,-0.951,-5.504,-0.191,-2.118,15162.0,14411.819,0.269,0.555
