???;;dlnC_RAW;dlnY_RAW;dlnC_NOME;dlnY_NOME;POP;RGDPPC_PPP;TO ;FO
AUS;1936;7.1621004;2.3172463;3.2044251;2.3150392;6783;5515.8484;0.231085787;0.49946925
AUS;1937;1.5803992;2.7452243;0.82590831;2.389318;6841;5745.6512;0.242793577;0.497531412
AUS;1938;0.24051178;1.0706165;-1.7674347;1.1601746;6904;5886.3268;0.24058671;0.493499774
AUS;1939;-11.900887;-2.0725374;-7.3120836;0.32158531;6971;5845.5613;0.215485756;0.487114745
AUS;1940;-8.2859879;4.0215965;-6.3928346;3.6586817;7042;6166.1392;0.236537494;0.478635917
AUS;1941;-3.5184255;8.3309128;-4.1455357;6.4294858;7111;6788.2301;0.200542005;0.46875
AUS;1942;-0.000988469;8.7565141;-3.0377413;6.1090156;7173;7505.4521;0.219502461;0.458333333
AUS;1943;-10.802969;1.2477579;-6.8314917;0.84858007;7236;7702.8325;0.215016272;0.447916667
AUS;1944;-7.8384133;-5.9426754;-3.9894174;-4.1400909;7309;7362.0271;0.222971814;0.4375
AUS;1945;11.257476;-7.6776306;5.4207268;-5.6157344;7389;6916.8981;0.215638149;0.427083333
AUS;1946;0.81563848;-6.1934722;3.1558089;-4.1581627;7474;6594.9328;0.212200091;0.416666667
AUS;1947;15.967791;-0.30825384;12.531065;-0.6379554;7578;6664.399;0.275117071;0.40625
AUS;1948;9.7390321;3.1553817;9.2699151;1.6308389;7715;6967.4598;0.411151988;0.396364083
AUS;1949;4.0538837;2.5205199;4.6824712;1.7673331;7919;7236.7925;0.397760879;0.400623246
AUS;1950;2.0723894;1.1195485;1.6053962;0.82681916;8267.337;7411.5764;0.470724166;0.428008354
AUS;1951;-2.424063;-0.049330499;-1.8585952;-0.22937857;8510.6;7507.3438;0.482962073;0.474227888
AUS;1952;-3.1781168;-2.5956839;-2.5404861;-1.1027124;8691.212;7417.8377;0.374749909;0.52877145
AUS;1953;-5.4550064;-0.17658959;-2.354066;0.24290707;8857.924;7505.2574;0.310183978;0.578491872
AUS;1954;4.1904004;2.4458229;2.1402047;1.2399635;9064.017;7790.5856;0.289305923;0.612262009
AUS;1955;5.3165841;1.6933831;2.6209721;0.94541509;9277.087;8027.4121;0.302364894;0.625
AUS;1956;-1.1137877;-0.34362024;-0.072422415;0.10208277;9500.606;8108.3249;0.273058291;0.625
AUS;1957;-2.6155442;-1.5988817;-0.81066576;-0.34849484;9712.569;8090.2385;0.271180484;0.625
AUS;1958;1.709885;1.3092048;0.9779085;1.0497843;9915.267;8305.4748;0.23510346;0.625
AUS;1959;-0.25808023;2.5258926;0.83460364;1.5247089;10131.73;8628.4384;0.243594868;0.625
AUS;1960;5.8644382;0.53674345;2.6796114;0.60078912;10361.27;8790.9082;0.253583268;0.625
AUS;1961;-1.2027835;0.88856735;-0.086211068;0.46732803;10598.81;8653.138;0.240802599;0.625
AUS;1962;-2.6366116;-3.2708645;-0.55949299;-0.76606958;10794.97;9026.7984;0.246339814;0.625
AUS;1963;2.4263456;3.5858681;1.6851755;2.3119543;11001.48;9399.9145;0.259623802;0.625
AUS;1964;2.9432892;2.5794209;2.3030097;2.505433;11218.3;9848.9041;0.268213107;0.625
AUS;1965;2.6099458;4.2228495;2.3187343;3.440435;11439.38;10151.858;0.260974346;0.625
AUS;1966;1.4922932;2.8194451;2.1194067;2.9211731;11655.08;10241.283;0.248941592;0.618631004
AUS;1967;3.0720624;1.1488118;2.3452796;1.9935658;11872.26;10732.747;0.243646083;0.601745936
AUS;1968;2.3288726;5.344715;2.3270263;3.774268;12101.66;11148.305;0.241769025;0.57662035
AUS;1969;2.6665362;1.8638518;2.3101456;2.1444801;12379.38;11560.995;0.239233923;0.542010654
AUS;1970;1.0760436;1.2405987;1.2603899;1.1880408;12660.16;12023.545;0.238220919;0.5
AUS;1971;-0.7196103;-0.88442504;0.51678933;-0.12529238;12937.2;12289.522;0.228669298;0.457989346
AUS;1972;1.9476214;-0.33842709;1.7450818;0.091180047;13177;12404.417;0.216775776;0.42337965
AUS;1973;3.201862;1.3581246;1.7345771;0.016059137;13380.4;12878.09;0.239304754;0.398254064
AUS;1974;0.29654601;-2.7715334;0.70519884;-1.143135;13599.1;12985.124;0.266341269;0.381368996
AUS;1975;-1.0895953;0.14858261;0.30171238;0.12161254;13771.4;13169.83;0.243279929;0.381368996
AUS;1976;2.3613868;1.0321234;1.1121039;0.17598997;13915.5;13558.837;0.249822008;0.398254064
AUS;1977;-0.15704759;-1.4916626;0.22730966;-0.35752841;14074.1;13546.372;0.252500964;0.42337965
AUS;1978;-0.12504523;1.5716556;0.038906394;0.61567406;14248.6;13768.651;0.249803458;0.45162035
AUS;1979;-0.000834529;0.70093492;0.41327661;0.55536313;14421.9;14319.542;0.278454526;0.476745936
AUS;1980;1.3276998;0.77588965;1.1207941;0.50910854;14615.9;14411.839;0.289622157;0.5
AUS;1981;2.176048;0.18698701;0.99406023;-0.50592986;14923.26;14660.336;0.273014871;0.523254064
